,Tipo de Solução,ID Certificado,Coeficiente Solução,Coeficiente Referência,Psi Solução,Psi Referência,Comprimento,Area Total Envolvente,solution
0,0,1524320.168,0.622547573,0.448495877,0.009039575,0,0,34.62885683,Floor with insulation from the exterior
1,1,1494904.768,0.603513836,0.4945266,0.009403715,0,0,53.25053524,Floor with insulation by the interior
2,2,1302825.046,0.895463692,0.498550499,0.008870968,0,0,70.27174879,Ground slab with insulation
3,3,1414827.193,0.973109453,0.473550929,0.007937355,0,0,68.13875129,Ground slab without insulation
4,4,1404995.328,0.606495727,0.484502924,0.00987013,0,0,55.2795207,Interior floor with insulation from the exterior
5,5,1343098.238,0.78477448,0.498630952,0.009574468,0,0,68.32631286,Interior floor with insulation by the interior
6,6,1356790.328,1.977401103,0.402156466,0.007815126,0,0,57.74056296,Interior floor without insulation 
7,7,1402485.043,2.199901726,0.41119004,0.008572281,0,0,51.59855539,Floor without insulation
8,8,1481386.873,1.567851019,0.43585471,0.01,,0,54.96979189,Hollow floor slab
9,9,1436870.387,1.669089577,0.407648444,0.01,,0,49.25050297,Wooden floors
